index,PRODUCT GROUP,CountVectorizer,TfidfVectorizer,
HAIR CARE,43602,94.7%,96.4%,Mejoró
SKIN CONDITIONING/MOISTURISING,28938,97.9%,98.1%,Mejoró
SUGAR/CANDY - FIXED WEIGHT,22414,96.5%,98.3%,Mejoró
LIP COSMETICS,21281,98.5%,99.0%,Mejoró
PERSONAL CLEANING & WASHING - GENERAL,21215,99.2%,99.6%,Mejoró
EYE COSMETICS,17794,94.9%,95.5%,Mejoró
FACE COSMETICS,16501,92.0%,93.1%,Mejoró
JUICES (10%-100%),16358,96.4%,98.0%,Mejoró
CHOCOLATE/CHOCOLATE SUBSTITUTES - FIXED WEIGHT,15775,82.5%,83.2%,Mejoró
NAIL CARE,15000,95.3%,95.9%,Mejoró
SWEET BISCUITS - AMBIENT,14466,90.5%,92.7%,Mejoró
COUGH COLD & OTHER RESPIRATORY REMEDIES & ACCESSORIES,14419,88.8%,90.3%,Mejoró
ORAL HYGIENE,14257,97.9%,98.4%,Mejoró
CANDLES/INCENSE,13607,90.5%,91.7%,Mejoró
SNACKS - FIXED WEIGHT,13309,98.0%,98.8%,Mejoró
FRUIT/NUTS - AMBIENT,13293,93.5%,95.0%,Mejoró
PAIN RELIEF,11708,94.8%,95.1%,Mejoró
VITAMINS & MINERALS & NUTRITIONAL SUPPLEMENTS,11521,90.5%,90.9%,Mejoró
DOG FOOD,10679,92.2%,92.7%,Mejoró
LAUNDRY GENERAL CARE,9961,97.9%,98.1%,Mejoró
CEREALS/TOASTER PASTRIES - AMBIENT,9426,96.3%,97.3%,Mejoró
PUERTO RICO CONSUMER PANEL,9227,82.3%,84.1%,Mejoró
DIGESTIVE & LIVER & OTHER INTESTINAL REMEDIES,8730,95.4%,97.1%,Mejoró
DEODORANTS,8487,92.9%,94.4%,Mejoró
GENERAL PERSONAL HYGIENE,8310,93.2%,94.2%,Mejoró
FACIAL CLEANSING & TONING,8241,94.3%,95.0%,Mejoró
DIPS/DRESSINGS/SAUCES - AMBIENT,8096,92.5%,93.6%,Mejoró
FRESHENERS/DEODORIZERS,8073,89.0%,90.2%,Mejoró
CHEESE - FRESH FIXED WEIGHT,7789,96.6%,96.4%,
NAIL POLISH & DECORATION,7610,92.0%,95.3%,Mejoró
SKIN TANNING,7501,93.3%,94.4%,Mejoró
ICE CREAM/NOVELTIES - FROZEN,7212,97.3%,98.0%,Mejoró
BABY PERSONAL HYGIENE,6575,92.7%,95.9%,Mejoró
FEMININE PERSONAL HYGIENE,6347,96.3%,97.9%,Mejoró
MEAT/POULTRY/GAME - FRESH FIXED WEIGHT,6178,95.8%,97.4%,Mejoró
DRINKS FLAVOURED RTD,6077,90.8%,92.0%,Mejoró
HOUSEHOLD CLEANERS,6040,87.8%,87.9%,Mejoró
HOUSEHOLD CLEANING ACCESSORIES,5749,96.2%,97.0%,Mejoró
DESSERTS - FRESH,5630,87.5%,90.2%,Mejoró
SHAVING/DEPILATION MALE,5088,94.9%,95.3%,Mejoró
